"","Estimate","Std. Error","z value","Pr(>|z|)","feature","variable","n"
"57",0.00153920593247874,0.0117201887751277,0.13132944886905,0.895514696707009,"replies_rt","sentcomp","10"
"58",-0.0133985382854515,0.00957068321303621,-1.39995630272261,0.161526404233,"pinned","sentcomp","10"
"59",0.00579441608956518,0.016637393367362,0.348276677819751,0.727632407153518,"policy_neg.abs:replies_rh","sentcomp","10"
"60",0.0678229082899569,0.0166186987534763,4.08112026675794,4.48191551321113e-05,"policy_neg.abs:replies_rt","sentcomp","10"
"61",0.0666633882070538,0.0135748905497507,4.91078642311988,9.07118483584808e-07,"policy_neg.abs:pinned","sentcomp","10"
"62",0.0199282748784544,0.0165784296163374,1.20206046891292,0.229340100842263,"policy_least.neg.abs:replies_rh","sentcomp","10"
"63",-0.00282130516999584,0.016574534133452,-0.170219274175657,0.864837694314787,"policy_least.neg.abs:replies_rt","sentcomp","10"
"64",-0.0727212175759957,0.0135342198281197,-5.37313701857456,7.73784841663133e-08,"policy_least.neg.abs:pinned","sentcomp","10"
"65",0.0155381536198148,0.0165988502164744,0.936098188559658,0.34922263561749,"policy_pos.abs:replies_rh","sentcomp","10"
"66",0.0672703447498348,0.0165868860403197,4.05563434790067,4.99984240246461e-05,"policy_pos.abs:replies_rt","sentcomp","10"
"67",0.0222007269859525,0.0135464793187266,1.63885585793958,0.101243282749451,"policy_pos.abs:pinned","sentcomp","10"
"68",0.0185342277811346,0.0165943829967747,1.11689767463707,0.264038079005554,"policy_pos.rel:replies_rh","sentcomp","10"
"69",0.0626510090298821,0.0165840909432158,3.7777777054166,0.000158234018054928,"policy_pos.rel:replies_rt","sentcomp","10"
"70",0.0192735954136631,0.0135436129865331,1.42307635583117,0.154714021706919,"policy_pos.rel:pinned","sentcomp","10"
"71",0.0292069035559008,0.0165843281529012,1.76111466721017,0.0782189970189876,"policy_rev.chron:replies_rh","sentcomp","10"
"72",0.0317652310894526,0.0165806669484266,1.91579935766498,0.055390639544437,"policy_rev.chron:replies_rt","sentcomp","10"
"73",0.00773860060280788,0.0135386205598665,0.571594466998208,0.56759674478394,"policy_rev.chron:pinned","sentcomp","10"
"74",0.00696392590892326,0.0165681704243359,0.420319548300541,0.674252031232095,"policy_chron:replies_rh","sentcomp","10"
"75",-0.00655551908985435,0.0165668178939008,-0.395701765531436,0.692325052890494,"policy_chron:replies_rt","sentcomp","10"
"76",-0.0150879170027459,0.0135276164613248,-1.11534186720048,0.26470395066091,"policy_chron:pinned","sentcomp","10"
"77",0.0100175351520069,0.0165885655888955,0.603881938937063,0.545922137434074,"policy_pin.pred.lr:replies_rh","sentcomp","10"
"78",0.0415129702368073,0.0165804263006006,2.50373358827955,0.0122890529901471,"policy_pin.pred.lr:replies_rt","sentcomp","10"
"79",0.0109877638330185,0.0135404668310163,0.811475997847397,0.417092371205227,"policy_pin.pred.lr:pinned","sentcomp","10"
"80",0.00722553204048548,0.0165925501342529,0.435468447105634,0.663222437025415,"policy_pin.pred.xgb:replies_rh","sentcomp","10"
"81",0.0442571232775955,0.0165831501655844,2.66880073060206,0.00761225978402407,"policy_pin.pred.xgb:replies_rt","sentcomp","10"
